Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Treet,https://www.linkedin.com/in/jakedisraeli,https://www.treet.co/?srsltid=AfmBOoo-M5fIhw6oKnM6j8yRsrqKHaBAJKxVCEOua-wJAWTtW0w-zHiZ,Seed,"Mar 4, 2024",,
OpenStore,https://www.linkedin.com/in/jemdwood,https://businessofhome.com/articles/dtc-founders-are-selling-who-s-buying,,"Mar 4, 2024",,
Dorsal,https://www.linkedin.com/in/aionel,https://www.dorsalhealth.com/h4,,"Mar 4, 2024",,
Blaze,https://www.linkedin.com/in/faiyam-rahman,https://www.blazeo.com/blog/methods-for-obtaining-customer-data-in-2024/,https://www.crunchbase.com/organization/the-blaze-fm/technology,,,
Reside Health,https://www.linkedin.com/in/komal-kothari-md-48896750,http://www.reside.health/,Seed,"Mar 7, 2023",,
Fuse Inventory,https://www.linkedin.com/in/rachelliaw,https://www.fuseinventory.com/,Seed,"Dec 13, 2021",,
Beaubble,https://www.linkedin.com/in/jorgelo,https://beaubble.com/home,,"Dec 13, 2021",,
Vista,https://www.linkedin.com/in/robertfredericksmith,https://help.vista.co/hc/en-nz/articles/5107104730137-Managing-user-access-to-Vista-Cloud-apps-and-capabilities,,"Dec 13, 2021",,
Amae Health,https://www.linkedin.com/in/soniapgarcia,https://amaehealth.com/,,"Dec 13, 2021",,
Tagado,https://il.linkedin.com/in/ohad-zadok,https://tagado.com/,,"Dec 13, 2021",,
Forte,https://www.linkedin.com/in/vineet-rajan,https://www.fortelessons.com/,,"Dec 13, 2021",,
Sunbound,https://www.linkedin.com/in/eric-recchia-16811b1a,https://www.sunboundhomes.com/,,"Dec 13, 2021",,
Tastenote,https://se.linkedin.com/in/patrik-barkevall-0b051a25,https://www.restroworks.com/blog/tiktok-marketing-for-restaurants/,,"Dec 13, 2021",,
Rally,https://uk.linkedin.com/in/pdegregorio,https://www.rallylegal.com/,Series a,"Oct 31, 2023",,
Lyte,https://www.linkedin.com/in/antonytaylor,https://www.lyte.city/index.html,,"Oct 31, 2023",,
Dutch,https://www.linkedin.com/in/matthew-keegan-527495227,https://www.dutch.com/?srsltid=AfmBOorR2iK9TbJoEG3_YPwUbQ0XPVXXgnpchhtObGBKc7bRghT_fOhM,Seed,"Oct 11, 2023",,
Kodif,https://www.linkedin.com/in/mikezayonc,https://kodif.ai/,Seed,"Sep 29, 2023",,
Aware,https://www.linkedin.com/in/jeffreyschumann,https://www.awarehc.com/,Seed,"Jun 9, 2022",,
Fountain,https://www.linkedin.com/in/kibaekr,https://www.fountain.com/posts/the-ultimate-guide-to-high-volume-hiring,Seed,"Jun 15, 2022",,
Payabli,https://www.linkedin.com/in/joelias621,"https://www.ourcrowd.com/startup/payabli#:~:text=Payabli%20provides%20reporting%20and%20analytics,and%20monetize%20their%20payments%20stack.",Seed,"Jun 25, 2024",,
Coverdash,https://www.linkedin.com/in/ralphbetesh,https://www.coverdash.com/,Seed,"Feb 28, 2024",,
Enclave 535,https://in.linkedin.com/in/mohit-mehra-847227146,https://enclavecoworking.com/,,"Feb 28, 2024",,
Hansa,https://cl.linkedin.com/in/crist%C3%B3bal-carrasco-83ba6318b/es,https://www.withhansa.com/,,"Feb 28, 2024",,
Modelbit,https://www.linkedin.com/in/harryglaser,https://moez-62905.medium.com/easily-deploy-machine-learning-models-from-the-comfort-of-your-notebook-9068a88f4cf5,,"Feb 28, 2024",,
Noetica,https://uk.linkedin.com/in/dannysinger,https://www.noetica.ai/,,"Feb 28, 2024",,
Novellia,https://www.linkedin.com/in/shashirshankar,https://novellia.com/,,"Feb 28, 2024",,
PetPair,https://www.linkedin.com/in/danielmiyares,https://petpair.co/,,"Feb 28, 2024",,
Taelor,https://www.linkedin.com/in/phoebe-tan-b6a3166,https://taelor.style/?srsltid=AfmBOorbL29GSbImkCOaxKh86tBYvGnY4smLsALUhsFNhdrG6NgJOzEB,Pre-seed,"Apr 28, 2022",,
Studyverse,https://www.linkedin.com/in/eric-drymer-478b24143,https://www.studytogether.com/,,"Apr 28, 2022",,
VetVet,https://cl.linkedin.com/in/katherine-echaiz-a4aaba213,https://www.vetvet.co/,,"Apr 28, 2022",,
Adonis,https://www.linkedin.com/in/amanmagoon,https://www.adonis.io/why-adonis,,"Apr 28, 2022",,
Wally,https://www.linkedin.com/in/mjmayank,https://www.carebywally.com/blog/introducing-primary-care-dentistry,,"Apr 28, 2022",,
Optiversal,https://www.linkedin.com/in/lucastieleman,https://www.optiversal.com/,,"Apr 28, 2022",,
DataroomHQ,https://www.linkedin.com/in/datajeff,https://www.dataroomhq.com/,,"Apr 28, 2022",,
Nominal,https://il.linkedin.com/in/sagi-gross-cfo-services,https://www.nominal.so/,Seed,Seed,,
Atrix,https://www.linkedin.com/in/raymond-choy-05708641,https://www.atrix.ai/,,Seed,,
Stxt,https://www.linkedin.com/in/ericwilliamdolan,https://www.quora.com/Is-there-a-way-to-mass-dm-your-followers-on-Instagram,,Seed,,
